p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,hl_category
1115.6716000000001,946.386128997146,794.3604265333777,820.8182538199234,876.9946641029791,911.854289872289,948.5035591539179,926.6833479792687,838.2385638908137,919.6181998286655,946.0082518610856,864.2130748108704,777.0907271272822,825.6152639017454,947.891325019418,976.6618888888889,Medium
3524.9589,3295.933983915883,3188.6275486827176,3171.987629093309,3233.586017478287,3365.2421032663897,3294.229589780576,3228.239757582763,3231.3422597057565,3291.519072880658,3360.829956696756,3259.883372991602,3124.7030902437673,3192.291589987116,3325.9596389891467,3436.2892714285713,Medium
1075.2138,858.9971727819577,707.0726654292581,743.5169643989346,854.4444660779827,939.0251263004048,900.4888517459013,762.001248477944,718.66321790458,885.9174838038088,966.557383504748,886.5903819263787,643.7786506224036,739.2968142448995,908.8015517956334,929.7796666666666,Medium
2394.1153999999997,2161.1360618252497,2026.9360590135707,2017.5612617850004,2143.3302107109866,2244.360493821338,2200.448315459407,2042.6628885252521,2049.7614833223624,2157.0820680238585,2242.18397675346,2165.333390578134,1968.3741747252802,2054.159804403216,2199.9620348739145,2238.4146,Medium
5072.5204,4844.436538831067,4667.398048488712,4647.670353143133,4761.536015880969,4854.642791410963,4848.5364231215135,4744.587161180026,4732.827614605197,4822.525272979871,4875.8241118528595,4755.667200809144,4586.956820162305,4693.991281298301,4876.427554041941,4914.214466666667,Medium
2656.8062,2493.0422843442193,2454.578789740045,2492.296414027068,2450.57061102619,2500.299285651811,2455.415815418616,2500.035452203471,2452.9855058333733,2472.292792355624,2619.8997880024895,2454.5369540029537,2427.089782816262,2478.0425599439004,2442.582604170751,2493.036085714286,Medium
3797.1405999999997,3596.7665807685316,3543.0921102090942,3504.524764266587,3630.6278375341462,3665.922476839317,3632.942971880045,3547.2058311339824,3524.548197501889,3632.8829909592614,3659.7188431528384,3629.215900148673,3478.481304987658,3540.211206778596,3618.1377988130544,3658.391285714286,Medium
2066.8593,1877.4259829768177,1769.6691817132717,1742.3716679116042,1850.2096558985434,1850.9476020015234,1852.4149113145497,1850.0415690570794,1857.239313024077,1891.2279630449864,1841.2496887384366,1793.1611496086148,1706.723124537392,1820.650171928671,1870.566140907043,1919.1145470588235,Medium
2042.1310999999998,1868.8634941106397,1792.0851003690905,1788.4948315555348,1880.720138467484,1870.5124167331169,1847.0852048526615,1855.458845047466,1851.0244941260914,1895.6650853589006,1855.3115058068154,1824.6916671235476,1757.1635429851763,1835.5329792920884,1872.6112196382742,1882.1368411764704,Medium
1498.8650000000002,1315.6822960529817,1264.9129504049124,1254.9277149014417,1311.9962793763796,1326.2580923639619,1303.401101896784,1310.9223174319743,1255.9513025206695,1326.210146812854,1400.4195435102301,1316.5310178088334,1212.0424290164044,1269.9553292660955,1296.1015540377884,1367.371090909091,Medium
1687.7685,1462.9544105344696,1313.259038901934,1315.4368302365544,1395.0010943813022,1498.6717163485173,1444.4506565151082,1344.941449163952,1343.6227250505203,1453.9436242877712,1519.9209257969737,1422.6296090429878,1232.5299511964904,1335.0276765495007,1484.4794754173731,1509.3223,Medium
1502.2650999999998,1348.2162250675972,1345.8206778741594,1325.5986705488804,1325.191505541848,1312.223081238862,1376.0646245422427,1380.2908962485828,1327.8738891868338,1381.8063223876625,1368.4892046372913,1336.7618588111754,1305.333068469437,1354.3209665724703,1323.910837687847,1372.5145923076923,Medium
1454.4867000000002,1249.9533472585856,1170.4531259078874,1150.0277038955383,1192.0131337914006,1228.1829349433335,1248.105109454701,1261.5048065319877,1202.2925042944723,1256.6560161843465,1286.280376753966,1183.8611021669176,1104.0343843522508,1184.4747315637276,1245.4981789866836,1343.864209090909,Medium
2567.4687,2375.6922386005604,2247.1013420843074,2209.1053052512993,2204.4843283332148,2337.601294323815,2329.2357263760746,2357.8172108702074,2362.632085309031,2347.0928253001316,2358.025164448444,2231.7972877898465,2195.722941962747,2264.093965419057,2367.3633361762913,2444.956788888889,Medium
1539.6497,1385.214682728789,1408.7830352902254,1377.2998650960044,1384.2209728818361,1380.015697475211,1413.8264432837775,1420.8756778821241,1364.9542767104804,1435.572763779734,1413.2742106310695,1402.538649012952,1373.995363458918,1393.999716661921,1369.4638528282414,1410.2035923076924,Medium
1488.2597,1313.714187720876,1307.277143949362,1266.5364266391125,1267.1549486718286,1272.3361472623867,1345.7010288347158,1373.487040494158,1301.7254688893313,1351.0444849190367,1306.210044494126,1268.054484207175,1246.086709999983,1310.5972202263818,1315.3793416610583,1358.6091923076924,Medium
