algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
Ridge,0.004622507095336914,0.004616689682006836,0.6178839908676378,0.7138882547220067,0.6041070265866489,0.7138882547220067,0.6850220264317181,0.5804014591265174,0.6850220264317181,0.5767293563432145,0.031342849162105335,0.33994190268700075,0.6705970020731383
Logistic,0.02804265022277832,0.005362844467163086,0.6255409332588346,0.7100284614096769,0.6209057618320492,0.7100284614096769,0.6894273127753304,0.6099835070239279,0.6894273127753304,0.5972277556958459,0.09543457095640923,0.3592385102189024,0.6799473916801518
SGD,0.024889135360717775,0.0031812191009521484,0.4685364234324439,0.5353621600231344,0.6611060504643671,0.5353621600231344,0.47577092511013214,0.6458051303438282,0.47577092511013214,0.5159793683251167,0.18468683121343457,0.46093993152816676,0.743053622142936
LDA,0.01843090057373047,0.004901075363159179,0.6403488883108912,0.7045157755353637,0.6329820110719366,0.7045157755353637,0.6696035242290749,0.5597973029820659,0.6696035242290749,0.5834625267189019,0.03852301208444739,0.34685133312584293,0.6720973465130334
QDA,0.007242393493652344,0.006347513198852539,0.3934025476667049,0.3572074334505274,0.5656007277025339,0.3572074334505274,0.34801762114537443,0.5406105648418685,0.34801762114537443,0.37307546402613995,0.07683335670614896,0.44233841684822073,0.6780190319289283
LinearSVC,0.2852869987487793,0.0037566184997558593,0.6178098861754464,0.7023210507891572,0.6009231339351468,0.7023210507891572,0.6850220264317181,0.5098430616740088,0.6850220264317181,0.5678972945326229,-0.01366010901962315,0.33421516754850084,0.6647580634679248
SVC,0.033620357513427734,0.014192867279052734,0.648035195900555,0.7370424485944325,0.7427067646592915,0.7370424485944325,0.711453744493392,0.7962061199897277,0.711453744493392,0.6075798011663756,0.21026024048668698,0.36920842411038485,0.6858513189448442
KNN,0.0019748687744140627,0.017926692962646484,0.6702123834054488,0.7067272422872624,0.6605022690408573,0.7067272422872624,0.7048458149779736,0.6649339962024695,0.7048458149779736,0.6610020259605643,0.24889966699692156,0.4460109969913891,0.7284735301189942
GPC,1.155471420288086,0.14729433059692382,0.5399118380515728,0.5126645663059526,0.615910875631043,0.5126645663059526,0.5550660792951542,0.570713575803159,0.5550660792951542,0.5534331264894531,0.15158845277635516,0.3843033509700176,0.7404212077492479
BernoulliNB,0.003537607192993164,0.004674243927001953,0.6051175452239037,0.7210599211603732,0.5212964711697228,0.7210599211603732,0.6916299559471366,0.4809347375791347,0.6916299559471366,0.5673526982378855,-0.02061425876514469,0.3322751322751323,0.6658333333333334
GaussianNB,0.0025897979736328124,0.004781484603881836,0.5903983583259484,0.5760939378719389,0.621824962320982,0.5760939378719389,0.566079295154185,0.5810894448873508,0.566079295154185,0.5672593222019013,0.12734511339614255,0.4155410312273056,0.7072021244792784
DecisionTree,0.05203695297241211,0.0038769721984863283,0.6219313754475749,0.6361581662937766,0.6109771646641798,0.6361581662937766,0.6409691629955947,0.5981514860620876,0.6409691629955947,0.6066897425595221,0.11721973298015344,0.39936715426911507,0.6964376628778278
ExtraTree,0.002467823028564453,0.0036366462707519533,0.6280297437319117,0.6422218163554176,0.617338727192171,0.6422218163554176,0.6233480176211453,0.5874138329462076,0.6233480176211453,0.5887020267225961,0.06339114376455644,0.38169934640522873,0.6786077317008182
RandomForest,0.49672327041625974,0.008150196075439453,0.6290197074061327,0.6786037167252637,0.6124434677833724,0.6786037167252637,0.6674008810572687,0.5807932720015663,0.6674008810572687,0.597686010752262,0.07791953179586397,0.36522460836186327,0.6803724662546387
Bagging,0.3911281108856201,0.00462031364440918,0.6352224298862164,0.6686833173523279,0.6190453770250907,0.6686833173523279,0.6718061674008811,0.622931045031816,0.6718061674008811,0.6322352853069596,0.16756406234352245,0.4192966075319016,0.705300328842617
AdaBoost,0.320388650894165,0.006185388565063477,0.6328082017884027,0.6934904037867373,0.6116916617198793,0.6934904037867373,0.6872246696035242,0.6141475033197733,0.6872246696035242,0.612070993995497,0.1359575785623679,0.3718850503164228,0.6948315493946305
GradientBoosting,4.237351703643799,0.004591655731201172,0.6437950313728713,0.7039739433511407,0.6365302711321074,0.7039739433511407,0.7070484581497798,0.6601071851296291,0.7070484581497798,0.6315104762800205,0.19975819690343213,0.39511360099595394,0.7036862704957985
HistGradientBoosting,2.93398232460022,0.021056747436523436,0.6366071721251884,0.6747484894144864,0.6208173355589723,0.6747484894144864,0.6762114537444934,0.6146443173668867,0.6762114537444934,0.6246318573482454,0.15049877891653476,0.4025936300446104,0.6990732454686657
ExtraTrees-ensemble,0.13899245262145996,0.008266496658325195,0.6422618104295305,0.6802566092872471,0.6275396662318002,0.6802566092872471,0.6541850220264317,0.6197313359241695,0.6541850220264317,0.6089837472652787,0.10284108618417936,0.39651416122004357,0.6865602802310997
LGBM,0.4494155406951904,0.005346441268920898,0.6374932751990101,0.6763968159749174,0.6224922786847376,0.6763968159749174,0.6872246696035242,0.6296272283367124,0.6872246696035242,0.6360605423252516,0.1820481848544489,0.4136113704741156,0.706579435638481
