algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
Ridge,0.14061307907104492,0.02055807113647461,0.8405564311370135,0.8478471302680244,0.8431114338813946,0.8478471302680244,0.8436123348017621,0.851046255506608,0.8436123348017621,0.8293232295585307,0.6417416813868358,0.6781616350243801,0.8448236207781742
Logistic,0.2807168006896973,0.021273088455200196,0.8229398858354641,0.8307611524587919,0.8247056126889909,0.8307611524587919,0.8281938325991189,0.829599715462751,0.8281938325991189,0.8142314139799618,0.6030335925848368,0.6650274924784728,0.835650763941692
SGD,0.4150747299194336,0.012424564361572266,0.7957497355293931,0.8015509185273123,0.7964367930046864,0.8015509185273123,0.8193832599118943,0.8192411790544253,0.8193832599118943,0.8061386508235487,0.582323646047696,0.6607946882456687,0.8320373944746642
LDA,2.1894058704376222,0.025834083557128906,0.7792892134181433,0.779495609028507,0.7805960085004733,0.779495609028507,0.7973568281938326,0.7881355085267475,0.7973568281938326,0.787783248394806,0.53660010132658,0.6524639485423799,0.8252688093427697
QDA,0.4375461578369141,0.03918952941894531,0.8021369896316883,0.8131013804544693,0.805368481643864,0.8131013804544693,0.7973568281938326,0.7990840065160645,0.7973568281938326,0.7811710091281845,0.5309603991760409,0.6021475256769374,0.8276036569118689
LinearSVC,0.12959704399108887,0.013521528244018555,0.8095389771325099,0.8142276608374047,0.8095653262222727,0.8142276608374047,0.8281938325991189,0.8283024857101249,0.8281938325991189,0.8143284879631487,0.6030818760292845,0.6650274924784728,0.8357207729751158
SVC,1.3699305057525635,0.4068279266357422,0.8120465140659242,0.8329497892029284,0.8420264823019201,0.8329497892029284,0.8259911894273128,0.8502698647852266,0.8259911894273128,0.8023089626156038,0.6015806928443735,0.6193796036933291,0.8151057852904668
KNN,0.037407207489013675,0.05512070655822754,0.7414156161174708,0.775637337716695,0.7640964565453203,0.775637337716695,0.76431718061674,0.7700187856350313,0.76431718061674,0.7247413842607405,0.4191666936038807,0.51897499740637,0.7601274427612381
GPC,21.976686096191408,27.27224998474121,0.7306899841443278,0.7596487222805657,0.738924932640046,0.7596487222805657,0.762114537444934,0.7595463593276507,0.762114537444934,0.7275608094342616,0.4152645305685404,0.5310094408133624,0.7639183449987977
BernoulliNB,0.05791497230529785,0.02320852279663086,0.7053754660671749,0.73262864709374,0.705552860825069,0.73262864709374,0.73568281938326,0.7078007507696974,0.73568281938326,0.7081720966971953,0.3581827016240941,0.5162568731196182,0.7610419956717552
GaussianNB,0.05804767608642578,0.017589521408081055,0.7669728968353998,0.7519200036528012,0.8234757826186343,0.7519200036528012,0.7995594713656388,0.8519269609375087,0.7995594713656388,0.807929860187833,0.6607884618313958,0.8603382093578172,0.9040840660804689
DecisionTree,0.042604827880859376,0.01098489761352539,0.7942586834426211,0.7976865592134301,0.7961951685915102,0.7976865592134301,0.7841409691629956,0.7874318013888103,0.7841409691629956,0.7757947330743957,0.513119462308023,0.6495902064529515,0.8205733949425825
ExtraTree,0.02436652183532715,0.011026954650878907,0.746169546846482,0.7491682267171971,0.7478018576186886,0.7491682267171971,0.7466960352422908,0.7436909032024213,0.7466960352422908,0.7355906526533863,0.41797786257823377,0.5898744683058408,0.7889144619263938
RandomForest,0.583327341079712,0.015642881393432617,0.7901096004820707,0.799876717958084,0.7891692332079714,0.799876717958084,0.8061674008810573,0.7984391614765305,0.8061674008810573,0.791536188808096,0.549329516970438,0.6384894698620189,0.8224831679371949
Bagging,0.20076236724853516,0.019677162170410156,0.8012362193430619,0.803191635085156,0.8012511285966655,0.803191635085156,0.7819383259911894,0.7727651230256796,0.7819383259911894,0.7742747275095965,0.511237176033115,0.6513953729640004,0.8218648820780774
AdaBoost,0.657294225692749,0.035492753982543944,0.6962017744155776,0.7750787635267796,0.6631848044897509,0.7750787635267796,0.7422907488986784,0.6248623348017621,0.7422907488986784,0.6540216046192654,0.36680481175979257,0.46913580246913583,0.7194244604316546
GradientBoosting,2.686703062057495,0.012163686752319335,0.8334880925475059,0.8406845958327626,0.8355921360261194,0.8406845958327626,0.8436123348017621,0.8479438353319267,0.8436123348017621,0.8295605618287991,0.6417866334918286,0.6781616350243801,0.8449636388450216
HistGradientBoosting,14.01996464729309,0.025829219818115236,0.8184103695871643,0.8235940520219778,0.8176935015353948,0.8235940520219778,0.8149779735682819,0.8125350144543715,0.8149779735682819,0.8030765830984526,0.574506769663315,0.6644050212677665,0.8332901971106041
ExtraTrees-ensemble,0.7105586528778076,0.015812397003173828,0.7860260993004778,0.7916168211497192,0.7861403056075659,0.7916168211497192,0.7731277533039648,0.7747557939092128,0.7731277533039648,0.7621376420935891,0.48133262980649605,0.622616453989003,0.8085829872687217
LGBM,0.5205182075500489,0.009197235107421875,0.8188510898395158,0.8241419722082706,0.8178902719369587,0.8241419722082706,0.8237885462555066,0.8223543739953125,0.8237885462555066,0.8106954194027226,0.5932430833897336,0.6657744579313207,0.8354088274096171
