algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
Ridge,0.00627284049987793,0.004858207702636719,0.6311080038363889,0.7177480480343363,0.6262870921907291,0.7177480480343363,0.7026431718061674,0.6737724538853017,0.7026431718061674,0.6085256671851941,0.15209556300889132,0.37070235501608045,0.6853674458806939
Logistic,0.02521238327026367,0.005618381500244141,0.6521356080572076,0.69845973547631,0.6403039435590125,0.69845973547631,0.6541850220264317,0.6078960945218223,0.6541850220264317,0.6241410292308815,0.15914251549701072,0.42003319846457104,0.7071820429834994
SGD,0.035093498229980466,0.00357513427734375,0.5957675813788919,0.5849093648691841,0.6095440446856518,0.5849093648691841,0.6079295154185022,0.5633433544234542,0.6079295154185022,0.5796040903325628,0.0690198993696996,0.397416744475568,0.6804335718417137
LDA,0.01352691650390625,0.00509486198425293,0.6565244535174019,0.7094759752218316,0.644909118265193,0.7094759752218316,0.6938325991189427,0.641102402346319,0.6938325991189427,0.6412221933338179,0.19512288015822282,0.4167859736487188,0.7078647326041606
QDA,0.022088909149169923,0.007883977890014649,0.09609931461976864,0.14663105185455763,0.571556847622042,0.14663105185455763,0.16740088105726872,0.7793074125884515,0.16740088105726872,0.11771582647235679,0.10308527996683653,0.3680672268907563,0.6832252246982901
LinearSVC,0.15149941444396972,0.0039729118347167965,0.5810083501171893,0.5820921419113282,0.5869155175117815,0.5820921419113282,0.6475770925110133,0.5993057717005764,0.6475770925110133,0.6117111325301644,0.119780336470436,0.40131756406266206,0.6943588868742404
SVC,0.044785928726196286,0.017337942123413087,0.7219145952676558,0.7745262773389342,0.7933498594565414,0.7745262773389342,0.7577092511013216,0.7948262873943476,0.7577092511013216,0.7040408616670624,0.39926428652188206,0.4832762734723519,0.7421899878471206
KNN,0.0031424999237060548,0.023134708404541016,0.708300962570038,0.7364899624065873,0.7087052886504814,0.7364899624065873,0.711453744493392,0.6955328653955241,0.711453744493392,0.6825657517529221,0.29131413955336366,0.4919389978213508,0.7415067133285241
GPC,2.50207576751709,25.403943014144897,0.540791699150245,0.5137680166811257,0.6155992071926157,0.5137680166811257,0.5550660792951542,0.5936263901296941,0.5550660792951542,0.5560288491591897,0.15351333651000867,0.38716671853926754,0.7404212077492479
BernoulliNB,0.005033969879150391,0.004864978790283203,0.6287084874902096,0.6681475731701749,0.6106267451814056,0.6681475731701749,0.6277533039647577,0.5351562475204906,0.6277533039647577,0.5628845494696872,-0.02714213730678841,0.33697478991596636,0.655213877678345
GaussianNB,0.003016757965087891,0.004844284057617188,0.05718404430152156,0.12844618967170449,0.7224824203391329,0.12844618967170449,0.12555066079295155,0.5347112964128383,0.12555066079295155,0.03863941579462604,0.011208294580203611,0.3365079365079365,0.6674619003983805
DecisionTree,0.008724212646484375,0.004996395111083985,0.7916327059172901,0.7949256502747211,0.7933395847511016,0.7949256502747211,0.7841409691629956,0.7858088168967974,0.7841409691629956,0.7767812793791167,0.5150943593792822,0.6547048449009233,0.8221381431440214
ExtraTree,0.0022114276885986327,0.0035321712493896484,0.6871914634597406,0.6978996392858774,0.6829112613833128,0.6978996392858774,0.7004405286343612,0.6882434565506712,0.7004405286343612,0.6761677890120125,0.275368583916312,0.49176263097831724,0.7399794798307694
RandomForest,0.1340348720550537,0.008252811431884766,0.7415639604171333,0.760195120466341,0.742844126287349,0.760195120466341,0.737885462555066,0.7193162455323748,0.737885462555066,0.7151727302948637,0.3681601926408759,0.5478057889822595,0.7632300501062566
Bagging,0.04496679306030273,0.004660463333129883,0.8006160415452175,0.8042874754577417,0.7991737974026984,0.8042874754577417,0.7907488986784141,0.7813959718349638,0.7907488986784141,0.7817756329784881,0.5240269875681988,0.6521527129370267,0.8224187641756514
AdaBoost,0.09417781829833985,0.006685018539428711,0.7303534475876129,0.7646089219670336,0.7376696134120841,0.7646089219670336,0.7422907488986784,0.6248623348017621,0.7422907488986784,0.6540216046192654,0.36680481175979257,0.46913580246913583,0.7194244604316546
GradientBoosting,0.7277612209320068,0.0048773765563964845,0.8427807046595864,0.8517069235803539,0.8484485897451736,0.8517069235803539,0.8568281938325991,0.8691589159029119,0.8568281938325991,0.8426400072418657,0.677288342000637,0.6867621122523083,0.8503136840121398
HistGradientBoosting,2.5741439342498778,0.031917905807495116,0.8145493328315616,0.8197342587096479,0.8135366831364916,0.8197342587096479,0.8105726872246696,0.8045186826894231,0.8105726872246696,0.7997841274525939,0.5652279372349163,0.6645398900300861,0.8316935394773611
ExtraTrees-ensemble,0.1334233283996582,0.009893083572387695,0.7177404774403267,0.7342906716588284,0.7154750812619488,0.7342906716588284,0.7202643171806168,0.7110765206284708,0.7202643171806168,0.6982645177057419,0.3225835761729356,0.5239962651727358,0.7510290304341892
LGBM,0.608712911605835,0.005119800567626953,0.8153816399055879,0.8208377090848211,0.8145814242414593,0.8208377090848211,0.8215859030837004,0.8197536080214395,0.8215859030837004,0.8096694454880469,0.589058376286457,0.6698308953210915,0.8360002242108752
